topic,time_ns
Baseline,16509250
Lotus,67519125
Baseline,2148792
Lotus,11080250
Baseline,2340125
Lotus,7805125
Baseline,2532250
Lotus,7864708
Baseline,2979125
Lotus,10040667
Baseline,2227042
Lotus,8087917
Baseline,2212708
Lotus,8277500
Baseline,2921084
Lotus,8555500
Baseline,3233416
Lotus,8485291
Baseline,3432250
Lotus,10824292
Baseline,4395083
Lotus,10624541
Baseline,3836833
Lotus,10663458
Baseline,3803875
Lotus,10532083
Baseline,5810000
Lotus,13200167
Baseline,4801417
Lotus,13026792
Baseline,3878250
Lotus,9187042
Baseline,3092083
Lotus,8608875
Baseline,4392625
Lotus,11115917
Baseline,3480459
Lotus,9503834
Baseline,5470917
Lotus,13423250
Baseline,4079833
Lotus,11342375
Baseline,3478250
Lotus,9586625
Baseline,4169750
Lotus,9988250
Baseline,3191833
Lotus,9018250
Baseline,2981125
Lotus,12068208
Baseline,3171875
Lotus,8056625
Baseline,2210000
Lotus,6615125
Baseline,2983167
Lotus,8028709
Baseline,2895708
Lotus,8858958
Baseline,3850167
Lotus,9324375
Baseline,2816000
Lotus,8326583
Baseline,3328666
Lotus,9107750
Baseline,3012833
Lotus,9951666
Baseline,5263334
Lotus,11356209
Baseline,3629375
Lotus,10316834
Baseline,3220667
Lotus,7894375
Baseline,2250500
Lotus,7137917
Baseline,2997250
Lotus,8806708
Baseline,2613833
Lotus,7326291
Baseline,2228334
Lotus,7894542
Baseline,2872625
Lotus,8805167
Baseline,2949666
Lotus,8201166
Baseline,4175458
Lotus,10287417
Baseline,4841125
Lotus,11097958
Baseline,3006333
Lotus,8322583
Baseline,4554209
Lotus,10817250
Baseline,3710125
Lotus,9843541
Baseline,4395916
Lotus,11214875
Baseline,1707667
Lotus,6012334
Baseline,2682416
Lotus,9085750
Baseline,2056459
Lotus,7065667
Baseline,2712667
Lotus,7795583
Baseline,2433500
Lotus,7708250
Baseline,1883334
Lotus,6901375
Baseline,2985125
Lotus,7877000
Baseline,2476625
Lotus,7257750
Baseline,1810583
Lotus,6060250
Baseline,1480625
Lotus,6892625
Baseline,1654000
Lotus,5321000
Baseline,1553375
Lotus,7236416
Baseline,1303000
Lotus,4631541
Baseline,9713541
Lotus,16404208
Baseline,2506916
Lotus,8509500
Baseline,1733958
Lotus,6019042
Baseline,1499917
Lotus,5322708
Baseline,1433291
Lotus,5435333
Baseline,1567875
Lotus,5513542
Baseline,1973417
Lotus,6906042
Baseline,3024292
Lotus,9236833
Baseline,4489250
Lotus,12190875
Baseline,3397750
Lotus,8733708
Baseline,3009709
Lotus,8588959
Baseline,2551459
Lotus,9536209
Baseline,1321291
Lotus,5664666
Baseline,2208542
Lotus,7268083
Baseline,2044083
Lotus,8032500
Baseline,1334209
Lotus,5411334
Baseline,2149208
Lotus,6546750
Baseline,2120041
Lotus,7025458
Baseline,2480500
Lotus,8742708
Baseline,3888208
Lotus,9621750
Baseline,2404834
Lotus,7213959
Baseline,3795083
Lotus,9448625
Baseline,5503708
Lotus,11338833
Baseline,2854167
Lotus,8685292
Baseline,5102416
Lotus,11397541
Baseline,2811083
Lotus,9236625
Baseline,3320333
Lotus,8570583
Baseline,2176667
Lotus,7480084
Baseline,3926583
Lotus,9807167
Baseline,2720542
Lotus,11874417
Baseline,4724375
Lotus,11503083
Baseline,2934833
Lotus,8340250
Baseline,4330291
Lotus,10938375
Baseline,2526750
Lotus,7795625
Baseline,4172459
Lotus,10639917
Baseline,3062792
Lotus,8557875
Baseline,3610875
Lotus,9936125
Baseline,3130000
Lotus,8382875
Baseline,2000000
Lotus,6314667
Baseline,2822500
Lotus,8106541
Baseline,3654083
Lotus,9823750
Baseline,3752000
Lotus,9899042
Baseline,2240792
Lotus,7488667
Baseline,1448791
Lotus,5401416
Baseline,1378458
Lotus,5754083
Baseline,1920334
Lotus,6836750
Baseline,1551542
Lotus,5483542
Baseline,3190667
Lotus,8003292
Baseline,1321750
Lotus,4785667
Baseline,2196958
Lotus,6911875
Baseline,1546167
Lotus,5559042
Baseline,1884250
Lotus,5788375
Baseline,1574916
Lotus,6953083
Baseline,2390542
Lotus,8074125
Baseline,1579875
Lotus,6001041
Baseline,1497750
Lotus,8207708
Baseline,1938750
Lotus,6439167
Baseline,1391291
Lotus,4940250
Baseline,1362333
Lotus,6239208
Baseline,1891834
Lotus,7595334
Baseline,2219292
Lotus,8453625
Baseline,1306834
Lotus,6147834
Baseline,1478542
Lotus,6735375
Baseline,1963834
Lotus,7023500
Baseline,2276084
Lotus,7997042
Baseline,2119292
Lotus,7271375
Baseline,2744792
Lotus,8295500
Baseline,2986125
Lotus,8470208
Baseline,3024500
Lotus,8878708
Baseline,2230000
Lotus,6871208
Baseline,1790042
Lotus,9657875
Baseline,1205166
Lotus,4806625
Baseline,1473083
Lotus,6158875
Baseline,2167334
Lotus,8342834
Baseline,1782583
Lotus,5956500
Baseline,1334958
Lotus,4715666
Baseline,1265041
Lotus,6346333
Baseline,1836208
Lotus,6282791
Baseline,1191708
Lotus,4619542
Baseline,2197458
Lotus,6850375
Baseline,1319458
Lotus,5165791
Baseline,1561250
Lotus,6802458
Baseline,1903542
Lotus,5687958
Baseline,2029750
Lotus,6917084
Baseline,2511000
Lotus,8993167
Baseline,1812834
Lotus,6214375
Baseline,2060083
Lotus,8858792
Baseline,2466416
Lotus,13119958
Baseline,2468417
Lotus,8257333
Baseline,2176250
Lotus,6995750
Baseline,2406875
Lotus,9675125
Baseline,1791708
Lotus,6971291
Baseline,2151334
Lotus,6809459
Baseline,2221958
Lotus,6622041
Baseline,1897166
Lotus,6213958
Baseline,2356625
Lotus,7428333
Baseline,2075500
Lotus,7814250
Baseline,1750583
Lotus,5870666
Baseline,1500917
Lotus,5268542
Baseline,2561292
Lotus,8113084
Baseline,2624375
Lotus,7821417
Baseline,2006625
Lotus,6226417
Baseline,2126166
Lotus,6759125
Baseline,1498500
Lotus,7567791
Baseline,1335209
Lotus,4699459
Baseline,1546334
Lotus,5862209
Baseline,1490750
Lotus,5916125
Baseline,1624833
Lotus,7618208
Baseline,1354000
Lotus,5110667
Baseline,1864250
Lotus,7061917
Baseline,1332209
Lotus,6436542
Baseline,1189000
Lotus,5258375
Baseline,1936666
Lotus,8375916
Baseline,2690625
Lotus,9677833
Baseline,2746334
Lotus,10338709
Baseline,2106084
Lotus,7280959
Baseline,1119208
Lotus,4497166
Baseline,1241667
Lotus,5233917
Baseline,1727125
Lotus,5877500
Baseline,1327667
Lotus,6671000
Baseline,2462791
Lotus,8184000
Baseline,1187209
Lotus,4587875
