topic,time_ns
Baseline,25858167
Lotus,95938333
Baseline,2953916
Lotus,11673458
Baseline,11162458
Lotus,19453250
Baseline,4994042
Lotus,12312000
Baseline,6473750
Lotus,17953708
Baseline,6293791
Lotus,16695875
Baseline,6974250
Lotus,19559000
Baseline,5526375
Lotus,16478625
Baseline,4344250
Lotus,14244875
Baseline,7523583
Lotus,19765375
Baseline,6868833
Lotus,16937291
Baseline,6447375
Lotus,14862625
Baseline,9426625
Lotus,17685917
Baseline,7406750
Lotus,19632500
Baseline,2541542
Lotus,7502458
Baseline,2257917
Lotus,8680834
Baseline,9462584
Lotus,24122875
Baseline,3498083
Lotus,9399333
Baseline,3411375
Lotus,9646250
Baseline,6874541
Lotus,18414583
Baseline,13645458
Lotus,22760375
Baseline,3796375
Lotus,9773167
Baseline,5029291
Lotus,14451500
Baseline,6143542
Lotus,14119083
Baseline,4410167
Lotus,14069042
Baseline,4072958
Lotus,11800833
Baseline,4090459
Lotus,12202917
Baseline,8561584
Lotus,23921167
Baseline,3553416
Lotus,11753625
Baseline,3194833
Lotus,10866875
Baseline,3282042
Lotus,15354000
Baseline,5025583
Lotus,15053042
Baseline,1710333
Lotus,6874916
Baseline,2847791
Lotus,9181583
Baseline,3975625
Lotus,11051417
Baseline,5837125
Lotus,15098209
Baseline,4505667
Lotus,13520292
Baseline,6286791
Lotus,14751458
Baseline,3664250
Lotus,11025750
Baseline,4022458
Lotus,9591041
Baseline,2882625
Lotus,8978000
Baseline,3387125
Lotus,10694083
Baseline,1671542
Lotus,6503917
Baseline,1745417
Lotus,7523542
Baseline,3717334
Lotus,14812792
Baseline,4494958
Lotus,11357458
Baseline,2777625
Lotus,10566334
Baseline,9423291
Lotus,18187375
Baseline,30379791
Lotus,38343416
Baseline,2699334
Lotus,9148209
Baseline,4266083
Lotus,14838542
Baseline,3805584
Lotus,10802750
Baseline,6870125
Lotus,16564250
Baseline,3225334
Lotus,11052375
Baseline,5876667
Lotus,22179958
Baseline,7237792
Lotus,16711167
Baseline,4480875
Lotus,17201084
Baseline,2701291
Lotus,13217666
Baseline,3288125
Lotus,8819292
Baseline,3063792
Lotus,13155542
Baseline,2568625
Lotus,9602625
Baseline,7209459
Lotus,13160542
Baseline,2313458
Lotus,10664167
Baseline,4757583
Lotus,11008333
Baseline,2647125
Lotus,10595208
Baseline,7218625
Lotus,20224291
Baseline,2742500
Lotus,9528916
Baseline,7322542
Lotus,14196500
Baseline,2631209
Lotus,11570709
Baseline,5033250
Lotus,11419500
Baseline,2716750
Lotus,11044750
Baseline,3731875
Lotus,11774875
Baseline,1414083
Lotus,5529208
Baseline,1989375
Lotus,6103500
Baseline,2592083
Lotus,10096208
Baseline,4846291
Lotus,17927500
Baseline,4145125
Lotus,14905833
Baseline,7346166
Lotus,21062833
Baseline,3697833
Lotus,12154042
Baseline,1654291
Lotus,6566166
Baseline,2521625
Lotus,9709042
Baseline,3178708
Lotus,12280292
Baseline,3008208
Lotus,9712083
Baseline,7566583
Lotus,17437791
Baseline,3952375
Lotus,11776750
Baseline,17446417
Lotus,24435667
Baseline,3675667
Lotus,11650875
Baseline,2798875
Lotus,11072875
Baseline,3143833
Lotus,12530958
Baseline,4073708
Lotus,15079875
Baseline,4939459
Lotus,12538084
Baseline,2656833
Lotus,8836500
Baseline,5223166
Lotus,13593541
Baseline,5120000
Lotus,14734667
Baseline,4765583
Lotus,15369333
Baseline,3584584
Lotus,11254042
Baseline,3448583
Lotus,11690000
Baseline,4935459
Lotus,12356459
Baseline,2942500
Lotus,10947167
Baseline,8081709
Lotus,19828042
Baseline,3648041
