topic,time_ns
Baseline,22379584
Lotus,74347834
Baseline,3270291
Lotus,11568791
Baseline,4826459
Lotus,14697792
Baseline,4690041
Lotus,13663583
Baseline,6414542
Lotus,14883000
Baseline,5787458
Lotus,13309333
Baseline,4724042
Lotus,14546500
Baseline,5728417
Lotus,15114750
Baseline,6581000
Lotus,13585583
Baseline,6137667
Lotus,13776292
Baseline,4563875
Lotus,12707792
Baseline,6421042
Lotus,14463250
Baseline,4176583
Lotus,12481792
Baseline,5224667
Lotus,13047208
Baseline,4906875
Lotus,12009334
Baseline,4088959
Lotus,9960334
Baseline,2504792
Lotus,8144500
Baseline,2507042
Lotus,7285042
Baseline,4179792
Lotus,12256917
Baseline,5119875
Lotus,12660292
Baseline,5369042
Lotus,13215167
Baseline,3728166
Lotus,10630833
Baseline,5779292
Lotus,13297125
Baseline,4076459
Lotus,10786709
Baseline,4479750
Lotus,10978667
Baseline,5071375
Lotus,12304000
Baseline,3016500
Lotus,8793292
Baseline,4172583
Lotus,10986000
Baseline,3034833
Lotus,8483417
Baseline,3157084
Lotus,11557375
Baseline,5037625
Lotus,11070750
Baseline,3111750
Lotus,9822916
Baseline,3827458
Lotus,10167250
Baseline,4891208
Lotus,12104917
Baseline,3871125
Lotus,10427834
Baseline,3091458
Lotus,9974958
Baseline,4364500
Lotus,11149875
Baseline,4384042
Lotus,11334542
Baseline,3089417
Lotus,8811500
Baseline,3524792
Lotus,9727000
Baseline,3334666
Lotus,9979041
Baseline,4539667
Lotus,10990875
Baseline,3465417
Lotus,10957083
Baseline,3892125
Lotus,10118458
Baseline,4236459
Lotus,12244625
Baseline,3814958
Lotus,10824666
Baseline,4128375
Lotus,10714625
Baseline,3703833
Lotus,10325166
Baseline,1989750
Lotus,8888125
Baseline,2178041
Lotus,8252375
Baseline,3573208
Lotus,9781958
Baseline,2795667
Lotus,9297125
Baseline,3222500
Lotus,9374750
Baseline,3968208
Lotus,11200667
Baseline,3309875
Lotus,9925583
Baseline,3011166
Lotus,10397833
Baseline,1718834
Lotus,7196292
Baseline,2712875
Lotus,14793709
Baseline,2097250
Lotus,7917958
Baseline,2849584
Lotus,11073834
Baseline,1747750
Lotus,6767500
Baseline,1959125
Lotus,6584000
Baseline,3094084
Lotus,9371000
Baseline,2168084
Lotus,7981375
Baseline,2788458
Lotus,11141458
Baseline,2441917
Lotus,7966583
Baseline,3871417
Lotus,10895292
Baseline,2925500
Lotus,8864125
Baseline,2533416
Lotus,8377708
Baseline,4339125
Lotus,10801708
Baseline,3646291
Lotus,9664541
Baseline,2967584
Lotus,8851584
Baseline,2689916
Lotus,9204125
Baseline,4374542
Lotus,10397459
Baseline,3566042
Lotus,9643833
Baseline,2768209
Lotus,7970625
Baseline,3707792
Lotus,11777250
Baseline,3470292
Lotus,9669333
Baseline,3585541
Lotus,9970625
Baseline,2399333
Lotus,9112958
Baseline,2711792
Lotus,7392167
Baseline,5225583
Lotus,12258167
Baseline,1740333
Lotus,6111041
Baseline,2235583
Lotus,6639583
Baseline,2321125
Lotus,8274292
Baseline,4091917
Lotus,9954042
Baseline,6876000
Lotus,14372583
Baseline,3676833
Lotus,10457375
Baseline,4101375
Lotus,11310542
Baseline,4620916
Lotus,11748541
Baseline,2307375
Lotus,7580917
Baseline,2992625
Lotus,8534042
Baseline,4223917
Lotus,11336417
Baseline,3061792
Lotus,8610250
Baseline,6280625
Lotus,12680459
Baseline,2613625
Lotus,8518792
Baseline,3489250
Lotus,9799042
Baseline,2652125
Lotus,8623542
Baseline,3111791
Lotus,9423208
Baseline,3975750
Lotus,9518083
Baseline,2722333
Lotus,9963458
Baseline,3469958
Lotus,9458916
Baseline,3190042
Lotus,9202292
Baseline,2496459
Lotus,8262167
Baseline,2471333
Lotus,8679416
Baseline,2262541
Lotus,8989375
Baseline,2871084
Lotus,9001875
Baseline,2986125
Lotus,8735542
Baseline,4298084
Lotus,10169000
Baseline,2601042
Lotus,8702292
Baseline,2689458
Lotus,8904166
Baseline,2457834
Lotus,9415959
Baseline,2947875
Lotus,9773166
Baseline,2597291
Lotus,8659791
Baseline,2756500
Lotus,9639792
Baseline,2573708
Lotus,8496792
Baseline,2620334
Lotus,8302292
